"TIME [h]","CP [mg/l]"
0,0
0.0335,2.63
0.06666667,1.17
0.1335,0.567
0.2678333,0.246
0.5,0.151
0.993,0.127
1,0
1.033,0.379
1.066833,0.433
1.1335,0.506
1.267,0.62
1.5,0.501
1.9925,0.609
2.032667,0.294
2.066833,0.233
2.133667,0.191
2.266667,0.152
2.499667,0.121
3.003333,0.1
4,0.051
5,0.044
10.00783,0.026
