"TIME [h]","CP [mg/l]"
0,0
0.03333334,0.92
0.06666667,1.75
0.1,2.05
0.1333333,2.02
0.1666667,2.08
0.3333333,1.92
0.5,2.21
0.6666667,2.08
0.8333333,2.28
1,2.67
1.25,2.85
1.5,2.99
1.75,3.19
2,3.39
2.033333,2.06
2.066667,1.61
2.1,1.42
2.133333,1.26
2.166667,1.19
2.333333,0.83
2.666667,0.53
3,0.43
3.5,0.3
4,0.25
5,0.21
6,0.18
7,0.14
8,0.13
9,0.12
10,0.1
