"TIME [h]","CP [mg/l]"
0,0
0.06666667,0.43
0.1,0.47
0.1333333,0.51
0.1666667,0.66
0.3333333,0.98
0.5,1.01
0.6666667,1.05
0.8333333,0.88
1,1.23
1.25,1.22
1.5,0.137
1.75,1.39
2,1.05
2.033333,0.89
2.066667,0.59
2.1,0.53
2.133333,0.51
2.166667,0.45
2.333333,0.32
2.666667,0.24
3,0.2
3.5,0.15
4,0.13
5,0.095
6,0.072
7,0.07
8,0.054
9,0.062
10,0.051
