"TIME [h]","CP [mg/l]"
0,0
0.03466666,2.29
0.0675,0.92
0.134,0.435
0.2683333,0.164
0.502,0.0984
0.9933333,0.0581
1,0
1.0335,0.791
1.068333,0.9630001
1.1335,1.17
1.267,1.28
1.500333,1.32
1.994167,1.41
2.0335,0.578
2.068,0.419
2.1335,0.269
2.266667,0.212
2.500333,0.14
3,0.118
4.0005,0.0619
5.001167,0.044
10.0195,0.038
