"TIME [h]","CP [mg/l]"
0,0
0.0335,2.31
0.06683334,0.947
0.1348333,0.5
0.2675,0.175
0.5071667,0.0853
0.9933333,0.0572
1,0
1.0335,1.22
1.067667,1.63
1.1335,2.48
1.267,2.66
1.5,2.21
1.993333,2.88
2.034167,1.12
2.066667,0.846
2.1335,0.483
2.266667,0.439
2.5,0.256
3.0045,0.243
4,0.125
5,0.12
10.16667,0.0707
