"TIME [h]","CP [mg/l]"
0,0
0.03333334,0.1
0.06666667,0.14
0.1,0.6
0.1333333,0.63
0.1666667,0.77
0.3333333,1.05
0.5,1.16
0.6666667,1.37
0.8333333,1.31
1,0.8
1.25,1.22
1.5,1.57
1.75,1.41
2,1.56
2.033333,1.67
2.066667,1.3
2.1,0.94
2.133333,0.75
2.166667,0.59
2.333333,0.39
2.666667,0.19
3,0.16
3.5,0.17
4,0.11
5,0.092
6,0.075
7,0.057
8,0.049
9,0.043
10,0.042
