"TIME [h]","CP [mg/l]"
0,0
0.03416667,4.26
0.066,1.75
0.1336667,1.06
0.2663333,0.398
0.5,0.205
0.9925,0.137
1,0
1.033333,2.78
1.0675,4.99
1.1335,5.68
1.2675,5.7
1.5,7.48
1.993333,6.83
2.0335,3.43
2.067167,2.05
2.134,1.48
2.304167,0.886
2.501167,0.62
3.005833,0.425
4.003333,0.266
5,0.248
9.916667,0.141
