"TIME [h]","CP [mg/l]"
0,0
0.03333334,0.12
0.06666667,0.92
0.1,1.21
0.1333333,1.39
0.1666667,1.37
0.3333333,1.88
0.5,0.94
0.6666667,2
0.8333333,1.97
1,2.13
1.25,1.9
1.5,2.51
1.75,2.18
2,2.67
2.033333,1.98
2.066667,1.22
2.1,0.97
2.133333,0.88
2.166667,0.8
2.333333,0.59
2.666667,0.38
3,0.27
3.5,0.24
4,0.2
5,0.12
6,0.084
7,0.083
8,0.063
9,0.049
10,0.048
