"TIME [h]","CP [mg/l]"
0,0
0.0335,2.7
0.06683334,1.52
0.1336667,0.849
0.267,0.414
0.5005,0.213
0.9925,0.141
1.000833,0
1.033,1.9
1.066833,1.64
1.134,2.21
1.267833,2.36
1.5,2.46
1.992167,2.77
2.034667,1.25
2.066833,0.878
2.146167,0.623
2.265333,0.448
2.501333,0.317
3.001333,0.153
4,0.0885
5.007166,0.0709
10.17217,0.059
