"TIME [h]","CP [mg/l]"
0,0
0.06666667,0.5
0.1,0.72
0.1333333,0.8
0.1666667,0.92
0.3333333,1.1
0.5,1.2
0.6666667,1.31
0.8333333,1.24
1,1.56
1.25,1.53
1.5,2.27
1.75,2.1
2,2.16
2.033333,1.27
2.066667,1.05
2.1,1.02
2.133333,0.99
2.166667,1.05
2.333333,0.91
2.666667,0.48
3,0.37
3.5,0.19
4,0.16
5,0.1
6,0.092
7,0.076
8,0.072
9,0.051
10,0.046
