"TIME [h]","CP [mg/l]"
0,0
0.0335,3.81
0.06716667,1.25
0.1356667,0.455
0.2675,0.203
0.5005,0.11
0.9928333,0.0528
1,0
1.034167,0.3
1.067667,0.527
1.1335,0.525
1.267833,0.535
1.5,0.705
1.992167,0.616
2.033333,0.711
2.066667,0.36
2.135167,0.246
2.266667,0.199
2.500333,0.13
3.001667,0.106
4.004167,0.0731
5,0.0423
10,0.026
