"TIME [h]","CP [mg/l]"
0,0
0.03383333,2.59
0.06666667,0.867
0.1398333,0.299
0.2666667,0.114
0.5013334,0.058
0.9913333,0.03
1,0
1.033,0.265
1.066833,0.364
1.1335,0.401
1.268833,0.494
1.5275,0.42
1.991333,0.479
2.0335,0.246
2.066667,0.163
2.1335,0.102
2.266667,0.0758
2.499667,0.0622
3.001333,0.06
4,0.035
5,0.027
10,0.014
