"TIME [h]","CP [mg/l]"
0,0
0.03333334,7.58
0.06666667,2.43
0.1336667,0.925
0.2666667,0.491
0.5,0.3
0.9946667,0.198
1,0
1.033333,0.565
1.067167,0.691
1.1335,0.845
1.270833,0.874
1.5,0.827
1.997167,0.844
2.034333,0.377
2.067667,0.311
2.137666,0.263
2.264167,0.207
2.504167,0.182
3.003333,0.138
4,0.0855
5.066667,0.0698
9.766666,0.037
