"TIME [h]","CP [mg/l]"
0.1666667,2.2
0.3333333,1.77
0.5833333,2.73
0.8333333,2.7
1.083333,3.07
1.333333,2.89
1.583333,3.16
1.833333,2.34
2.446667,2.49
2.53,1.95
2.78,1.68
3.03,1.44
3.863333,0.89
4.363333,0.624
