"TIME [h]","CP [mg/l]"
0.1666667,2.61
0.3333333,3.11
0.5833333,2.94
0.8333333,3.49
1.083333,2.6
1.333333,2.9
1.603333,2.11
1.77,1.49
2.02,0.979
2.27,0.8200001
2.686667,0.896
3.02,0.692
3.52,0.52
5.52,0.325
7.52,0.482
13.52,0.128
