"TIME [h]","CP [mg/l]"
0,0
0.03333334,6.84
0.06683334,2.04
0.1335,0.862
0.267,0.448
0.5,0.27
0.9941667,0.204
1,0
1.033333,0.556
1.066833,0.409
1.1335,0.631
1.266667,0.763
1.499667,0.775
1.996333,0.778
2.033333,0.429
2.066333,0.32
2.1335,0.273
2.266333,0.227
2.5,0.168
3.0005,0.121
4,0.0866
5,0.0611
9.979167,0.052
