"TIME [h]","CP [mg/l]"
0,0
0.0335,5.1
0.06716667,2.09
0.1336667,0.9719999
0.2683333,0.423
0.5008333,0.277
0.9953334,0.191
1,0
1.033333,0.702
1.066667,0.793
1.135667,0.855
1.267167,1.01
1.5,0.958
1.9975,0.968
2.0355,0.582
2.066667,0.388
2.133333,0.294
2.266667,0.238
2.5,0.173
3,0.131
4.0375,0.157
5,0.046
10,0.036
