"TIME [h]","CP [mg/l]"
0,0
0.03333334,2.12
0.06933333,1.77
0.134,1.14
0.267,0.577
0.5003334,0.308
0.992,0.25
1,0
1.033833,0.862
1.066833,0.947
1.133167,1.16
1.267,1.16
1.499667,1.3
1.992167,1.82
2.033333,0.885
2.067667,0.684
2.133167,0.536
2.268333,0.363
2.5,0.293
3.003667,0.225
4,0.114
5,0.0639
10,0.029
