"TIME [h]","CP [mg/l]"
0,0
0.03333334,0.8200001
0.06666667,1.48
0.1,1.27
0.1333333,1.59
0.1666667,2.36
0.3333333,2.08
0.5,2.81
0.6666667,3.52
0.8333333,3.77
1,4.05
1.25,4.51
1.5,5.1
1.75,4.05
2,3.9
2.033333,2.62
2.066667,2.28
2.1,2.18
2.133333,1.89
2.166667,1.66
2.333333,1.25
2.666667,0.84
3,0.59
3.5,0.53
4,0.36
5,0.22
6,0.16
7,0.13
8,0.11
9,0.1
10,0.091
