"TIME [h]","CP [mg/l]"
0,0
0.0335,3.94
0.06666667,1.8
0.1336667,0.867
0.267,0.439
0.5003334,0.287
0.9928333,0.172
1,0
1.033333,3.23
1.066667,3.94
1.1335,4.45
1.2675,4.93
1.5,5.63
1.993833,5.22
2.034167,2.22
2.066667,1.71
2.1335,1.19
2.267,1.13
2.5,0.949
3.001333,0.53
4,0.281
5,0.224
10,0.134
