"TIME [h]","CP [mg/l]"
0,0
0.0335,3.71
0.06683334,1.38
0.1335,0.511
0.2666667,0.168
0.503,0.0685
0.9925,0.0478
1,0
1.033333,1.28
1.066667,2.09
1.1335,2.5
1.266333,2.32
1.5005,2.21
1.993333,2.27
2.033333,0.974
2.066833,0.7
2.1335,0.6210001
2.269166,0.426
2.499667,0.329
3,0.267
4,0.155
5,0.0832
10.01667,0.0705
